"Account ID","Account Name","Website Domain Text"
"001F0000010dTmX","Skyworks Solutions, Inc.","skyworksinc.com"
"0012A00002XSJgT","Indigo Agriculture","indigoag.com"
"0012A00001rIYyN","PMD Beauty","trypmd.com"
"0012A00001vZxD3","Sony Europe","sony-europe.com"
"0013j00002yaxud","Assurant Solutions","assurantsolutions.com"
"001VK00000409di","inDrive","indrive.com"
"0013j00002mc8qF","Buncombe County Government","buncombecounty.org"
"001F0000010dTNC","Ally","ally.com"
"0012A000021IQEh","Unit4","unit4.com"
"0013j00002bAH55","Eurofins","eurofins.com"
"001F000001o3J1j","igus SE & Co. KG","igus.de"
"0013j000037iQkb","MAPFRE Insurance Company","mapfreinsurance.com"
"001VK00000cfiyT","Measurlabs","measurlabs.com"
"0012A00002Tzrz3","Osborne Clarke","osborneclarke.com"
"001VK00000jOfxn","Dongfeng Nissan Passenger Vehicle Company","dongfeng-nissan.com.cn"
"0012A00002NrfSf","Glovo","glovoapp.com"
"001F000001teBuV","Leoni","leoni.com"
"0013j00002mc8mA","National Endowment for the Arts","arts.gov"
"001VK00000fYh6F","McLane Global","mclaneglobal.com"
"001VK00000guclc","Optinosis","optinosis.com"
"001F000000odk3b","Greyhound Lines, Inc.","greyhound.com"
"0012A00002ZpLLQ","Envolve","envolvehealth.com"
"001F000001pKHuS","Hays","hays.co.uk"
"0013j00002cTBS8","Elgiganten A/S","elgiganten.dk"
"0013j00003AP4ws","The Unicorn ? A Creative Agency","theunicorn.dk"
"0012A00002Bn5dg","Bitrefill","bitrefill.com"
"001F0000012fvEp","Packsize","packsize.com"
"001F0000017GM5e","Credit Acceptance","creditacceptance.com"
"0013j00002ybD9M","BitMart","bitmart.com"
"001VK00000fzxIA","Novva Data Centers","novva.com"
"0013j00002bA8dn","Jaguar Land Rover","jaguarlandrover.com"
"0012A000021LA7x","SentinelOne","sentinelone.com"
"0013j00003ALmQj","Britannica","britannica.com"
"0013j00002ycJkW","SOCO SYSTEM A/S","socosystem.com"
"0012A00002TzsTO","ILF Consulting Engineers","ilf.com"
"0012A00002Tzqty","STEF","stef.com"
"0013j00003AMQxK","City of Schenectady","cityofschenectady.com"
"0012A00002Bn0ax","Foxconn","foxconn.com"
"0013j00003AMR9L","Flagler County Sheriff's Office","flaglersheriff.com"
"001VK00000f82oD","Aldermore Bank","aldermore.co.uk"
"0012A000021Iw2L","Sourcegraph","sourcegraph.com"
"0012A000021JYKq","FutureBrand","futurebrand.com"
"001VK000003AOkM","FAO","fao.org"
"0013j00002yc29t","Sveaskog","sveaskog.se"
"0012A00002EtAPB","LifeVantage Corporation","lifevantage.com"
"0012A0000284ytQ","Veem","veem.com"
"001F0000010dTc4","Kellogg Company","kelloggs.com"
"0013j00002bAKub","Lee Hecht Harrison","lhh.com"
"001F000000ucrDL","Gumroad","gumroad.com"
"0013j00002ycM6g","Holiday Club Resorts","holidayclubresorts.com"
"001A000000YO1Ix","Trend Micro","trendmicro.com"
"001F0000012eDNt","Rover.com","rover.com"
"001F000000hWNyD","The Children's Place","childrensplace.com"
"0013j00002mcqPh","Kum & Go","kumandgo.com"
"0013j00003ALmRG","Seminole HardRock Support Services","seminolehardrockhollywood.com"
"001F0000010dTX9","FMC Corporation","fmc.com"
"0012A00002HFBBR","Lemonade","lemonade.com"
"0013j000037iOJp","Blaser Swisslube Ag","blaser.com"
"0013j00002ybeZK","TUI Hotels & Resorts Turkey","tuigroup.com"
"001F0000013ujZo","Technip S.A.","technipfmc.com"
"001F000001abqFb","ZARA (Inditex)","zara.com"
"001F000000gufxH","Fidelity Investments","fidelity.com"
"0013j00003GVSFq","Lexware","lexware.de"
"001F000001XZrG6","JD Sports","jdplc.com"
"001VK00000gOhvH","HMD Global","hmd.com"
"0013j000037iJww","IMC Logistics","imcc.com"
"0013j00003ANOml","City of Joliet","joliet.gov"
"0013j000034tFVo","Autograph (LFG NFT)","autograph.io"
"001F000000sclWL","AIG","aig.com"
"0012A00001vZQCe","California State University, East Bay","csueastbay.edu"
"001F000000ptFjE","Stemcell Technologies","stemcell.com"
"0012A00002AghOm","Konecranes","konecranes.com"
"0013j00002mbhHX","Smarp","smarp.com"
"0012A000021K3xr","Virbac S.A.","virbac.com"
"001F000000joNd1","Aviva","avivainvestors.com"
"0012A00002BnDKj","Ingeteam","ingeteam.com"
"001VK00000VD7mk","AT&T","att.com"
"001F000000yFjbn","Aesop","aesop.com"
"001VK00000FsaAp","JJ-Net Group Oy","jj-net.fi"
"0013j00002yacBi","Assystem","assystem.com"
"0012A00002EurPE","Cadillac","cadillac.com"
"001VK000008KN99","Cerenion Oy","cerenion.com"
"001F000000vYYtU","Arctic Cat","arcticcat.com"
"0013j00002ybHY6","Howden Group Holdings","howdengroupholdings.com"
"0012A00002UH7YQ","Bargreen Ellingson","bargreen.com"
"0013j000031ueIy","YAZIO","yazio.com"
"001VK00000JyS3M","Stealth AI Startup","ai-in-stealth.com"
"0013j00002cRdq6","ROLLER","roller.software"
"001F0000010dTPF","Bath & Body Works Direct","bathandbodyworks.com"
"001F0000010dT4j","Infoblox","infoblox.com"
"0013j00002yc6bk","Silk","silk.us"
"0012A00002UJFZQ","Fortune","fortune.com"
"001F000001tfSGf","Globality","globality.com"
"0012A00002armVq","Amazon Games","amazongames.com"
"0013j00003ALmKX","DANMARKS BLDERFORENING","bloderforeningen.dk"
